,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10377,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem']",21000000.0,19443837.0,19443837.0,False,,1,,,,2023-07-31T05:05:00.000Z,29391.205005659507,10138358772.418592,65.5593,-0.10504798,0.19599708,-1.33039126,-3.28475349,9.68229228,5.1679593,571477799363.6276,48.2522,617215305118.85,,2023-07-31T05:05:00.000Z,,,,,,2023-07-31 10:37:19.448239
1,1027,Ethereum,ETH,ethereum,7196,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1']",,121030274.35261676,121030274.35261676,True,,2,,,,2023-07-31T05:05:00.000Z,1863.4119984331958,4566653195.819502,83.7861,-0.33593427,-0.82628111,-0.39270519,-2.72002105,0.48901905,1.96835618,225529265402.32755,19.0374,225529265402.33,,2023-07-31T05:05:00.000Z,,,,,,2023-07-31 10:37:19.448239
2,825,Tether USDt,USDT,tether,58042,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83818134651.27141,86706257841.30522,True,,3,,,,2023-07-31T05:05:00.000Z,0.9999308648894419,17280791673.447887,45.3303,0.01098242,-0.02926182,-0.00826019,0.03307756,-0.01588933,-0.02557874,83812339875.26552,7.0748,86700263394.58,,2023-07-31T05:05:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-07-31 10:37:19.448239
3,1839,BNB,BNB,bnb,1547,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,153855398.8046752,153855398.8046752,False,,4,,,,2023-07-31T05:05:00.000Z,243.06362587991447,479288943.561004,42.232,-0.25654469,0.2139948,0.91010122,0.76081537,-20.14484172,-24.94556613,37396651094.66461,3.1567,37396651094.66,,2023-07-31T05:05:00.000Z,,,,,,2023-07-31 10:37:19.448239
4,52,XRP,XRP,xrp,1014,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,52693851493.0,99988556423.0,False,,5,,,,2023-07-31T05:05:00.000Z,0.7045306245475044,1415839002.8417842,94.2292,-0.23475252,-0.95898318,-3.7357334,50.08238541,39.00970828,51.86169342,37124432102.176735,3.1346,70453062454.75,,2023-07-31T05:05:00.000Z,,,,,,2023-07-31 10:37:19.448239
5,3408,USD Coin,USDC,usd-coin,13483,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,26546010667.694824,26546010667.694824,False,,6,,,,2023-07-31T05:05:00.000Z,1.0000408329911217,2328443850.8727655,56.0267,0.01234253,-0.01545801,0.01292542,0.02301444,0.01653166,0.00642924,26547094620.712734,2.2412,26547094620.71,,2023-07-31T05:05:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-07-31 10:37:19.448239
6,74,Dogecoin,DOGE,dogecoin,758,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,140393826383.70526,140393826383.70526,True,,7,,,,2023-07-31T05:05:00.000Z,0.07839145424490922,419800243.70040935,-10.8802,-0.45621575,-2.36208664,10.30846265,13.68922072,9.85662919,-0.15618032,11005676217.22596,0.9292,11005676217.23,,2023-07-31T05:05:00.000Z,,,,,,2023-07-31 10:37:19.448239
7,2010,Cardano,ADA,cardano,884,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35007296809.152,36030277985.671,False,,8,,,,2023-07-31T05:05:00.000Z,0.3134671539373308,190025618.38054025,24.4065,-0.61159014,-0.85278047,0.18394791,10.46922513,-14.02604135,-18.85101339,10973637697.80428,0.9263,14106021927.18,,2023-07-31T05:05:00.000Z,,,,,,2023-07-31 10:37:19.448239
8,5426,Solana,SOL,solana,494,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,404373037.72989345,553689538.9027193,True,,9,,,,2023-07-31T05:05:00.000Z,24.44186082074728,398461438.58935183,59.6624,-0.84643865,-2.54123974,0.36520431,35.52563374,18.31383841,12.19177867,9883629507.856844,0.8344,13533202647.76,,2023-07-31T05:05:00.000Z,,,,,,2023-07-31 10:37:19.448239
9,1958,TRON,TRX,tron,800,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'sec-security-token', 'alleged-sec-securities']",,89624655697.37907,89624701879.6948,True,,10,71659659264.0,5739379153.629605,,2023-07-31T05:05:00.000Z,0.08009219151440934,244096993.4731255,39.8119,0.08785961,-3.79340426,-2.42275113,4.98710947,6.60309594,18.22011584,7178235088.527483,0.6061,7178238787.37,,2023-07-31T05:05:00.000Z,,,,,,2023-07-31 10:37:19.448239
10,2,Litecoin,LTC,litecoin,961,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000.0,73478926.72743528,84000000.0,False,,11,,,,2023-07-31T05:05:00.000Z,93.18816277377849,639049442.6616021,17.8549,-0.92853515,-1.74904256,0.91399787,-12.44250627,2.09913498,7.01757972,6847366184.318781,0.5781,7827805673.0,,2023-07-31T05:05:00.000Z,,,,,,2023-07-31 10:37:19.448239
11,3890,Polygon,MATIC,polygon,790,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'sec-security-token', 'alleged-sec-securities']",10000000000.0,9319469069.28493,10000000000.0,False,,12,,,,2023-07-31T05:05:00.000Z,0.6998740221508595,242476296.5129047,26.2964,-0.58909865,-2.47093349,-5.44776552,6.95557234,-21.15140575,-26.85390031,6522454301.830971,0.5507,6998740221.51,,2023-07-31T05:05:00.000Z,,,,,,2023-07-31 10:37:19.448239
12,6636,Polkadot,DOT,polkadot-new,543,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1210335907.0487902,1339814784.35397,True,,13,,,,2023-07-31T05:05:00.000Z,5.188966706870533,104251680.27499613,48.1713,-0.49531509,-1.32863585,-2.67122069,0.1683812,-0.81928381,-8.27985914,6280392725.806121,0.5301,6952254309.39,,2023-07-31T05:05:00.000Z,,,,,,2023-07-31 10:37:19.448239
13,1831,Bitcoin Cash,BCH,bitcoin-cash,738,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19463387.5,19463387.5,False,,14,,,,2023-07-31T05:05:00.000Z,253.05833293740613,478915988.7101903,271.4269,-1.21264481,4.25615614,2.05668065,-11.67766052,124.29353797,116.4384084,4925372394.064749,0.4158,5314224991.69,,2023-07-31T05:05:00.000Z,,,,,,2023-07-31 10:37:19.448239
14,5994,Shiba Inu,SHIB,shiba-inu,577,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589346914631298.1,589589040239379.6,False,,15,,,,2023-07-31T05:05:00.000Z,8.317696883391353e-06,165472194.58153182,-21.1164,-0.48719448,-3.87316754,6.75342011,9.73831231,-2.27833702,-15.86184616,4902008995.065058,0.4138,4904022922.48,,2023-07-31T05:05:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2023-07-31 10:37:19.448239
0,1,Bitcoin,BTC,bitcoin,10377,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem']",21000000.0,19443837.0,19443837.0,False,,1,,,,2023-07-31T05:05:00.000Z,29391.205005659507,10138358772.418592,65.5593,-0.10504798,0.19599708,-1.33039126,-3.28475349,9.68229228,5.1679593,571477799363.6276,48.2522,617215305118.85,,2023-07-31T05:05:00.000Z,,,,,,2023-07-31 10:37:19.448239
1,1027,Ethereum,ETH,ethereum,7196,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1']",,121030274.35261676,121030274.35261676,True,,2,,,,2023-07-31T05:05:00.000Z,1863.4119984331958,4566653195.819502,83.7861,-0.33593427,-0.82628111,-0.39270519,-2.72002105,0.48901905,1.96835618,225529265402.32755,19.0374,225529265402.33,,2023-07-31T05:05:00.000Z,,,,,,2023-07-31 10:37:19.448239
2,825,Tether USDt,USDT,tether,58042,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83818134651.27141,86706257841.30522,True,,3,,,,2023-07-31T05:05:00.000Z,0.9999308648894419,17280791673.447887,45.3303,0.01098242,-0.02926182,-0.00826019,0.03307756,-0.01588933,-0.02557874,83812339875.26552,7.0748,86700263394.58,,2023-07-31T05:05:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-07-31 10:37:19.448239
3,1839,BNB,BNB,bnb,1547,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,153855398.8046752,153855398.8046752,False,,4,,,,2023-07-31T05:05:00.000Z,243.06362587991447,479288943.561004,42.232,-0.25654469,0.2139948,0.91010122,0.76081537,-20.14484172,-24.94556613,37396651094.66461,3.1567,37396651094.66,,2023-07-31T05:05:00.000Z,,,,,,2023-07-31 10:37:19.448239
4,52,XRP,XRP,xrp,1014,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,52693851493.0,99988556423.0,False,,5,,,,2023-07-31T05:05:00.000Z,0.7045306245475044,1415839002.8417842,94.2292,-0.23475252,-0.95898318,-3.7357334,50.08238541,39.00970828,51.86169342,37124432102.176735,3.1346,70453062454.75,,2023-07-31T05:05:00.000Z,,,,,,2023-07-31 10:37:19.448239
5,3408,USD Coin,USDC,usd-coin,13483,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,26546010667.694824,26546010667.694824,False,,6,,,,2023-07-31T05:05:00.000Z,1.0000408329911217,2328443850.8727655,56.0267,0.01234253,-0.01545801,0.01292542,0.02301444,0.01653166,0.00642924,26547094620.712734,2.2412,26547094620.71,,2023-07-31T05:05:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-07-31 10:37:19.448239
6,74,Dogecoin,DOGE,dogecoin,758,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,140393826383.70526,140393826383.70526,True,,7,,,,2023-07-31T05:05:00.000Z,0.07839145424490922,419800243.70040935,-10.8802,-0.45621575,-2.36208664,10.30846265,13.68922072,9.85662919,-0.15618032,11005676217.22596,0.9292,11005676217.23,,2023-07-31T05:05:00.000Z,,,,,,2023-07-31 10:37:19.448239
7,2010,Cardano,ADA,cardano,884,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35007296809.152,36030277985.671,False,,8,,,,2023-07-31T05:05:00.000Z,0.3134671539373308,190025618.38054025,24.4065,-0.61159014,-0.85278047,0.18394791,10.46922513,-14.02604135,-18.85101339,10973637697.80428,0.9263,14106021927.18,,2023-07-31T05:05:00.000Z,,,,,,2023-07-31 10:37:19.448239
8,5426,Solana,SOL,solana,494,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,404373037.72989345,553689538.9027193,True,,9,,,,2023-07-31T05:05:00.000Z,24.44186082074728,398461438.58935183,59.6624,-0.84643865,-2.54123974,0.36520431,35.52563374,18.31383841,12.19177867,9883629507.856844,0.8344,13533202647.76,,2023-07-31T05:05:00.000Z,,,,,,2023-07-31 10:37:19.448239
9,1958,TRON,TRX,tron,800,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'sec-security-token', 'alleged-sec-securities']",,89624655697.37907,89624701879.6948,True,,10,71659659264.0,5739379153.629605,,2023-07-31T05:05:00.000Z,0.08009219151440934,244096993.4731255,39.8119,0.08785961,-3.79340426,-2.42275113,4.98710947,6.60309594,18.22011584,7178235088.527483,0.6061,7178238787.37,,2023-07-31T05:05:00.000Z,,,,,,2023-07-31 10:37:19.448239
10,2,Litecoin,LTC,litecoin,961,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000.0,73478926.72743528,84000000.0,False,,11,,,,2023-07-31T05:05:00.000Z,93.18816277377849,639049442.6616021,17.8549,-0.92853515,-1.74904256,0.91399787,-12.44250627,2.09913498,7.01757972,6847366184.318781,0.5781,7827805673.0,,2023-07-31T05:05:00.000Z,,,,,,2023-07-31 10:37:19.448239
11,3890,Polygon,MATIC,polygon,790,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'sec-security-token', 'alleged-sec-securities']",10000000000.0,9319469069.28493,10000000000.0,False,,12,,,,2023-07-31T05:05:00.000Z,0.6998740221508595,242476296.5129047,26.2964,-0.58909865,-2.47093349,-5.44776552,6.95557234,-21.15140575,-26.85390031,6522454301.830971,0.5507,6998740221.51,,2023-07-31T05:05:00.000Z,,,,,,2023-07-31 10:37:19.448239
12,6636,Polkadot,DOT,polkadot-new,543,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1210335907.0487902,1339814784.35397,True,,13,,,,2023-07-31T05:05:00.000Z,5.188966706870533,104251680.27499613,48.1713,-0.49531509,-1.32863585,-2.67122069,0.1683812,-0.81928381,-8.27985914,6280392725.806121,0.5301,6952254309.39,,2023-07-31T05:05:00.000Z,,,,,,2023-07-31 10:37:19.448239
13,1831,Bitcoin Cash,BCH,bitcoin-cash,738,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19463387.5,19463387.5,False,,14,,,,2023-07-31T05:05:00.000Z,253.05833293740613,478915988.7101903,271.4269,-1.21264481,4.25615614,2.05668065,-11.67766052,124.29353797,116.4384084,4925372394.064749,0.4158,5314224991.69,,2023-07-31T05:05:00.000Z,,,,,,2023-07-31 10:37:19.448239
14,5994,Shiba Inu,SHIB,shiba-inu,577,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589346914631298.1,589589040239379.6,False,,15,,,,2023-07-31T05:05:00.000Z,8.317696883391353e-06,165472194.58153182,-21.1164,-0.48719448,-3.87316754,6.75342011,9.73831231,-2.27833702,-15.86184616,4902008995.065058,0.4138,4904022922.48,,2023-07-31T05:05:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2023-07-31 10:37:19.448239
0,1,Bitcoin,BTC,bitcoin,10379,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem']",21000000.0,19443993.0,19443993.0,False,,1,,,,2023-07-31T09:13:00.000Z,29383.46099991292,10812208703.33629,82.8969,0.0399553,0.29662806,-1.22517022,-3.44526724,9.10686188,4.82191276,571331809998.0798,48.1988,617052680998.17,,2023-07-31T09:13:00.000Z,,,,,,2023-07-31 14:45:06.218107
